Year,Rank,Company,Revenue,Profit
1988,3,Ford Motor,71643.0,4625
1988,4,Intl. Business Machines,54217.0,5258
1988,5,Mobil,51223.0,1258
1989,1,General Motors,121085.0,4856
1989,2,Ford Motor,92446.0,5300
1989,3,Exxon Mobil,79557.0,5260
1989,4,Intl. Business Machines,59681.0,5806
1989,5,General Electric,49414.0,3386
1990,1,General Motors,126974.3,4224.3
1990,2,Ford Motor,96932.6,3835
1990,3,Exxon Mobil,86656.0,3510
1990,4,Intl. Business Machines,63438.0,3758
1990,5,General Electric,55264.0,3939
1991,1,General Motors,125126.0,-1985.7
1991,2,Exxon Mobil,105885.0,5010
1991,3,Ford Motor,98274.7,860.1
1991,4,Intl. Business Machines,69018.0,6020
1991,5,Mobil,58770.0,1929
1992,1,General Motors,123780.1,-4452.8
1992,2,Exxon Mobil,103242.0,5600
1992,3,Ford Motor,88962.8,-2258
1992,4,Intl. Business Machines,65394.0,-2827
1992,5,General Electric,60236.0,2636
1993,1,General Motors,132774.9,-23498.3
1993,2,Exxon Mobil,103547.0,4770
1993,3,Ford Motor,100785.6,-7385
1993,4,Intl. Business Machines,65096.0,-4965
1993,5,General Electric,62202.0,4725
1994,1,General Motors,133621.9,2465.8
1994,2,Ford Motor,108521.0,2529
1994,3,Exxon Mobil,97825.0,5280
1994,4,Intl. Business Machines,62716.0,-8101
1994,5,General Electric,60823.0,4315
1995,1,General Motors,154951.2,4900.6
1995,2,Ford Motor,128439.0,5308
1995,3,Exxon Mobil,101459.0,5100
1995,4,Wal-Mart Stores,83412.4,2681
1995,5,AT&T,75094.0,4676
1996,1,General Motors,168828.6,6880.7
1996,2,Ford Motor,137137.0,4139
1996,3,Exxon Mobil,110009.0,6470
1996,4,Wal-Mart Stores,93627.0,2740
1996,5,AT&T,79609.0,139
1997,1,General Motors,168369.0,4963
1997,2,Ford Motor,146991.0,4446
1997,3,Exxon Mobil,119434.0,7510
1997,4,Wal-Mart Stores,106147.0,3056
1997,5,General Electric,79179.0,7280
1998,1,General Motors,178174.0,6698
1998,2,Ford Motor,153627.0,6920
1998,3,Exxon Mobil,122379.0,8460
1998,4,Wal-Mart Stores,119299.0,3526
1998,5,General Electric,90840.0,8203
1999,1,General Motors,161315.0,2956
1999,2,Ford Motor,144416.0,22071
1999,3,Wal-Mart Stores,139208.0,4430
1999,4,Exxon Mobil,100697.0,6370
1999,5,General Electric,100469.0,9296
2000,1,General Motors,189058.0,6002
2000,2,Wal-Mart Stores,166809.0,5377
2000,3,Exxon Mobil,163881.0,7910
2000,4,Ford Motor,162558.0,7237
2000,5,General Electric,111630.0,10717
2001,1,Exxon Mobil,210392.0,17720
2001,2,Wal-Mart Stores,193295.0,6295
2001,3,General Motors,184632.0,4452
2001,4,Ford Motor,180598.0,3467
2001,5,General Electric,129853.0,12735
2002,1,Wal-Mart Stores,219812.0,6671
2002,2,Exxon Mobil,191581.0,15320
2002,3,General Motors,177260.0,601
2002,4,Ford Motor,162412.0,-5453
2002,5,Enron,138718.0,N.A.
2003,1,Wal-Mart Stores,246525.0,8039
2003,2,General Motors,186763.0,1736
2003,3,Exxon Mobil,182466.0,11460
2003,4,Ford Motor,163630.0,-980
2003,5,General Electric,131698.0,14118
2004,1,Wal-Mart Stores,258681.0,9054
2004,2,Exxon Mobil,213199.0,21510
2004,3,General Motors,195645.2,3822
2004,4,Ford Motor,164496.0,495
2004,5,General Electric,134187.0,15002
2005,1,Wal-Mart Stores,288189.0,10267
2005,2,Exxon Mobil,270772.0,25330
2005,3,General Motors,193517.0,2805
2005,4,Ford Motor,172233.0,3487
2005,5,General Electric,152363.0,16593
1955,1,General Motors,9823.5,806
1955,2,Exxon Mobil,5661.4,584.8
1955,3,U.S. Steel,3250.4,195.4
1955,4,General Electric,2959.1,212.6
1955,5,Esmark,2510.8,19.1
1956,1,General Motors,12443.3,1189.5
1956,2,Exxon Mobil,6272.4,709.3
1956,3,Ford Motor,5594.0,437
1956,4,U.S. Steel,4097.7,370.1
1956,5,Chrysler,3466.2,100.1
1957,1,General Motors,10796.4,847.4
1957,2,Exxon Mobil,7126.9,808.5
1957,3,Ford Motor,4647.0,236.6
1957,4,U.S. Steel,4228.9,348.1
1957,5,General Electric,4090.0,213.8
1958,1,General Motors,10989.8,843.6
1958,2,Exxon Mobil,7830.2,805.2
1958,3,Ford Motor,5771.3,282.8
1958,4,U.S. Steel,4413.8,419.4
1958,5,General Electric,4335.7,247.9
1959,1,General Motors,9522.0,633.6
1959,2,Exxon Mobil,7543.6,562.5
1959,3,Ford Motor,4130.3,95.7
1959,4,General Electric,4120.8,242.9
1959,5,U.S. Steel,3472.2,301.6
1960,1,General Motors,11233.1,873.1
1960,2,Exxon Mobil,7910.7,629.8
1960,3,Ford Motor,5356.9,451.4
1960,4,General Electric,4349.5,280.2
1960,5,U.S. Steel,3643.0,254.6
1961,1,General Motors,12736.0,959
1961,2,Exxon Mobil,8034.7,688.6
1961,3,Ford Motor,5237.9,427.9
1961,4,General Electric,4197.5,200.1
1961,5,U.S. Steel,3698.5,304.2
1962,1,General Motors,11395.9,892.8
1962,2,Exxon Mobil,8437.7,758.1
1962,3,Ford Motor,6709.4,409.6
1962,4,General Electric,4456.8,242.1
1962,5,Mobil,3321.2,211.3
1963,1,General Motors,14640.2,1459.1
1963,2,Exxon Mobil,9536.9,840.9
1963,3,Ford Motor,8089.6,480.7
1963,4,General Electric,4792.7,265.8
1963,5,Mobil,3933.3,242.3
1964,1,General Motors,16494.8,1591.8
1964,2,Exxon Mobil,10264.3,1019.5
1964,3,Ford Motor,8742.5,488.5
1964,4,General Electric,4918.7,270.6
1964,5,Mobil,4352.1,271.9
1965,1,General Motors,16997.0,1734.8
1965,2,Exxon Mobil,10814.7,1050.6
1965,3,Ford Motor,9670.8,505.6
1965,4,General Electric,4941.4,237.3
1965,5,Mobil,4499.4,294.2
1966,1,General Motors,20734.0,2125.6
1966,2,Ford Motor,11536.8,703
1966,3,Exxon Mobil,11471.5,1035.7
1966,4,General Electric,6213.6,355.1
1966,5,Chrysler,5299.9,233.4
1967,1,General Motors,20208.5,1793.4
1967,2,Ford Motor,12240.0,621
1967,3,Exxon Mobil,12191.4,1090.9
1967,4,General Electric,7177.3,338.9
1967,5,Chrysler,5649.5,189.2
1968,1,General Motors,20026.3,1627.3
1968,2,Exxon Mobil,13266.0,1232.3
1968,3,Ford Motor,10515.7,84.1
1968,4,General Electric,7741.2,361.4
1968,5,Chrysler,6213.4,200.4
1969,1,General Motors,22755.4,1731.9
1969,2,Exxon Mobil,14091.3,1276.7
1969,3,Ford Motor,14075.1,626.6
1969,4,General Electric,8381.6,357.1
1969,5,Chrysler,7445.3,290.7
1970,1,General Motors,24295.1,1710.7
1970,2,Exxon Mobil,14929.8,1047.6
1970,3,Ford Motor,14755.6,546.5
1970,4,General Electric,8448.0,278
1970,5,Intl. Business Machines,7197.3,933.9
1971,1,General Motors,18752.4,609.1
1971,2,Exxon Mobil,16554.2,1309.5
1971,3,Ford Motor,14979.9,515.7
1971,4,General Electric,8726.7,328.5
1971,5,Intl. Business Machines,7504.0,1017.5
1972,1,General Motors,28263.9,1935.7
1972,2,Exxon Mobil,18700.6,1461.6
1972,3,Ford Motor,16433.0,656.7
1972,4,General Electric,9425.3,471.8
1972,5,Intl. Business Machines,8273.6,1078.8
1973,1,General Motors,30435.2,2162.8
1973,2,Exxon Mobil,20309.8,1531.8
1973,3,Ford Motor,20194.4,870
1973,4,General Electric,10239.5,530
1973,5,Chrysler,9759.1,220.5
1974,1,General Motors,35798.3,2398.1
1974,2,Exxon Mobil,25724.3,2443.3
1974,3,Ford Motor,23015.1,906.5
1974,4,Chrysler,11774.4,255.4
1974,5,General Electric,11575.3,585.1
1975,1,Exxon Mobil,42061.3,3142.2
1975,2,General Motors,31549.5,950.1
1975,3,Ford Motor,23620.6,360.9
1975,4,Texaco,23255.5,1586.4
1975,5,Mobil,18929.0,1047.4
1976,1,Exxon Mobil,44864.8,2503
1976,2,General Motors,35724.9,1253.1
1976,3,Texaco,24507.5,830.6
1976,4,Ford Motor,24009.1,322.7
1976,5,Mobil,20620.4,809.9
1977,1,Exxon Mobil,48630.8,2641
1977,2,General Motors,47181.0,2902.8
1977,3,Ford Motor,28839.6,983.1
1977,4,Texaco,26451.9,869.7
1977,5,Mobil,26062.6,942.5
1978,1,General Motors,54961.3,3337.5
1978,2,Exxon Mobil,54126.2,2423
1978,3,Ford Motor,37841.5,1672.8
1978,4,Mobil,32125.8,1004.7
1978,5,Texaco,27920.5,930.8
1979,1,General Motors,63221.1,3508
1979,2,Exxon Mobil,60334.5,2763
1979,3,Ford Motor,42784.1,1588.9
1979,4,Mobil,34736.0,1125.6
1979,5,Texaco,28607.5,852.5
1980,1,Exxon Mobil,79106.5,4295.2
1980,2,General Motors,66311.2,2892.7
1980,3,Mobil,44720.9,2007.2
1980,4,Ford Motor,43513.7,1169.3
1980,5,Texaco,38350.4,1759.1
1981,1,Exxon Mobil,103142.8,5650.1
1981,2,Mobil,59510.0,3272
1981,3,General Motors,57728.5,-762.5
1981,4,Texaco,51195.8,2642.5
1981,5,ChevronTexaco,40479.0,2401
1982,1,Exxon Mobil,108107.7,5567.5
1982,2,Mobil,64488.0,2433
1982,3,General Motors,62698.5,333.4
1982,4,Texaco,57628.0,2310
1982,5,ChevronTexaco,44224.0,2380
1983,1,Exxon Mobil,97172.5,4185.9
1983,2,General Motors,60025.6,962.7
1983,3,Mobil,59946.0,1380
1983,4,Texaco,46986.0,1281
1983,5,Ford Motor,37067.2,-657.8
1984,1,Exxon Mobil,88561.1,4978
1984,2,General Motors,74581.6,3730.2
1984,3,Mobil,54607.0,1503
1984,4,Ford Motor,44454.6,1866.9
1984,5,Intl. Business Machines,40180.0,5485
1985,1,Exxon Mobil,90854.0,5528
1985,2,General Motors,83889.9,4516.5
1985,3,Mobil,56047.0,1268
1985,4,Ford Motor,52366.4,2906.8
1985,5,Texaco,47334.0,306
1986,1,General Motors,96371.7,3999
1986,2,Exxon Mobil,86673.0,4870
1986,3,Mobil,55960.0,1040
1986,4,Ford Motor,52774.4,2515.4
1986,5,Intl. Business Machines,50056.0,6555
1987,1,General Motors,102813.7,2944.7
1987,2,Exxon Mobil,69888.0,5360
1987,3,Ford Motor,62715.8,3285.1
1987,4,Intl. Business Machines,51250.0,4789
1987,5,Mobil,44866.0,1407
1988,1,General Motors,101782.0,3551
1988,2,Exxon Mobil,76416.0,4840
1988,3,Ford Motor,71643.0,4625
1988,4,Intl. Business Machines,54217.0,5258
1988,5,Mobil,51223.0,1258
1989,1,General Motors,121085.0,4856
1989,2,Ford Motor,92446.0,5300
1989,3,Exxon Mobil,79557.0,5260
1989,4,Intl. Business Machines,59681.0,5806
1989,5,General Electric,49414.0,3386
1990,1,General Motors,126974.3,4224.3
1990,2,Ford Motor,96932.6,3835
1990,3,Exxon Mobil,86656.0,3510
1990,4,Intl. Business Machines,63438.0,3758
1990,5,General Electric,55264.0,3939
1991,1,General Motors,125126.0,-1985.7
1991,2,Exxon Mobil,105885.0,5010
1991,3,Ford Motor,98274.7,860.1
1991,4,Intl. Business Machines,69018.0,6020
1991,5,Mobil,58770.0,1929
1992,1,General Motors,123780.1,-4452.8
1992,2,Exxon Mobil,103242.0,5600
1992,3,Ford Motor,88962.8,-2258
1992,4,Intl. Business Machines,65394.0,-2827
1992,5,General Electric,60236.0,2636
1993,1,General Motors,132774.9,-23498.3
1993,2,Exxon Mobil,103547.0,4770
1993,3,Ford Motor,100785.6,-7385
1993,4,Intl. Business Machines,65096.0,-4965
1993,5,General Electric,62202.0,4725
1994,1,General Motors,133621.9,2465.8
1994,2,Ford Motor,108521.0,2529
1994,3,Exxon Mobil,97825.0,5280
1994,4,Intl. Business Machines,62716.0,-8101
1994,5,General Electric,60823.0,4315
1995,1,General Motors,154951.2,4900.6
1995,2,Ford Motor,128439.0,5308
1995,3,Exxon Mobil,101459.0,5100
1995,4,Wal-Mart Stores,83412.4,2681
1995,5,AT&T,75094.0,4676
1996,1,General Motors,168828.6,6880.7
1996,2,Ford Motor,137137.0,4139
1996,3,Exxon Mobil,110009.0,6470
1996,4,Wal-Mart Stores,93627.0,2740
1996,5,AT&T,79609.0,139
1997,1,General Motors,168369.0,4963
1997,2,Ford Motor,146991.0,4446
1997,3,Exxon Mobil,119434.0,7510
1997,4,Wal-Mart Stores,106147.0,3056
1997,5,General Electric,79179.0,7280
1998,1,General Motors,178174.0,6698
1998,2,Ford Motor,153627.0,6920
1998,3,Exxon Mobil,122379.0,8460
1998,4,Wal-Mart Stores,119299.0,3526
1998,5,General Electric,90840.0,8203
1999,1,General Motors,161315.0,2956
1999,2,Ford Motor,144416.0,22071
1999,3,Wal-Mart Stores,139208.0,4430
1999,4,Exxon Mobil,100697.0,6370
1999,5,General Electric,100469.0,9296
2000,1,General Motors,189058.0,6002
2000,2,Wal-Mart Stores,166809.0,5377
2000,3,Exxon Mobil,163881.0,7910
2000,4,Ford Motor,162558.0,7237
2000,5,General Electric,111630.0,10717
2001,1,Exxon Mobil,210392.0,17720
2001,2,Wal-Mart Stores,193295.0,6295
2001,3,General Motors,184632.0,4452
2001,4,Ford Motor,180598.0,3467
2001,5,General Electric,129853.0,12735
2002,1,Wal-Mart Stores,219812.0,6671
2002,2,Exxon Mobil,191581.0,15320
2002,3,General Motors,177260.0,601
2002,4,Ford Motor,162412.0,-5453
2002,5,Enron,138718.0,N.A.
2003,1,Wal-Mart Stores,246525.0,8039
2003,2,General Motors,186763.0,1736
2003,3,Exxon Mobil,182466.0,11460
2003,4,Ford Motor,163630.0,-980
2003,5,General Electric,131698.0,14118
2004,1,Wal-Mart Stores,258681.0,9054
2004,2,Exxon Mobil,213199.0,21510
2004,3,General Motors,195645.2,3822
2004,4,Ford Motor,164496.0,495
2004,5,General Electric,134187.0,15002
2005,1,Wal-Mart Stores,288189.0,10267
2005,2,Exxon Mobil,270772.0,25330
2005,3,General Motors,193517.0,2805
2005,4,Ford Motor,172233.0,3487
2005,5,General Electric,152363.0,16593
1955,1,General Motors,9823.5,806
1955,2,Exxon Mobil,5661.4,584.8
1955,3,U.S. Steel,3250.4,195.4
1955,4,General Electric,2959.1,212.6
1955,5,Esmark,2510.8,19.1
1956,1,General Motors,12443.3,1189.5
1956,2,Exxon Mobil,6272.4,709.3
1956,3,Ford Motor,5594.0,437
1956,4,U.S. Steel,4097.7,370.1
1956,5,Chrysler,3466.2,100.1
1957,1,General Motors,10796.4,847.4
1957,2,Exxon Mobil,7126.9,808.5
1957,3,Ford Motor,4647.0,236.6
1957,4,U.S. Steel,4228.9,348.1
1957,5,General Electric,4090.0,213.8
1958,1,General Motors,10989.8,843.6
1958,2,Exxon Mobil,7830.2,805.2
1958,3,Ford Motor,5771.3,282.8
1958,4,U.S. Steel,4413.8,419.4
1958,5,General Electric,4335.7,247.9
1959,1,General Motors,9522.0,633.6
1959,2,Exxon Mobil,7543.6,562.5
1959,3,Ford Motor,4130.3,95.7
1959,4,General Electric,4120.8,242.9
1959,5,U.S. Steel,3472.2,301.6
1960,1,General Motors,11233.1,873.1
1960,2,Exxon Mobil,7910.7,629.8
1960,3,Ford Motor,5356.9,451.4
1960,4,General Electric,4349.5,280.2
1960,5,U.S. Steel,3643.0,254.6
1961,1,General Motors,12736.0,959
1961,2,Exxon Mobil,8034.7,688.6
1961,3,Ford Motor,5237.9,427.9
1961,4,General Electric,4197.5,200.1
1961,5,U.S. Steel,3698.5,304.2
1962,1,General Motors,11395.9,892.8
1962,2,Exxon Mobil,8437.7,758.1
1962,3,Ford Motor,6709.4,409.6
1962,4,General Electric,4456.8,242.1
1962,5,Mobil,3321.2,211.3
1963,1,General Motors,14640.2,1459.1
1963,2,Exxon Mobil,9536.9,840.9
1963,3,Ford Motor,8089.6,480.7
1963,4,General Electric,4792.7,265.8
1963,5,Mobil,3933.3,242.3
1964,1,General Motors,16494.8,1591.8
1964,2,Exxon Mobil,10264.3,1019.5
1964,3,Ford Motor,8742.5,488.5
1964,4,General Electric,4918.7,270.6
1964,5,Mobil,4352.1,271.9
1965,1,General Motors,16997.0,1734.8
1965,2,Exxon Mobil,10814.7,1050.6
1965,3,Ford Motor,9670.8,505.6
1965,4,General Electric,4941.4,237.3
1965,5,Mobil,4499.4,294.2
1966,1,General Motors,20734.0,2125.6
1966,2,Ford Motor,11536.8,703
1966,3,Exxon Mobil,11471.5,1035.7
1966,4,General Electric,6213.6,355.1
1966,5,Chrysler,5299.9,233.4
1967,1,General Motors,20208.5,1793.4
1967,2,Ford Motor,12240.0,621
1967,3,Exxon Mobil,12191.4,1090.9
1967,4,General Electric,7177.3,338.9
1967,5,Chrysler,5649.5,189.2
1968,1,General Motors,20026.3,1627.3
1968,2,Exxon Mobil,13266.0,1232.3
1968,3,Ford Motor,10515.7,84.1
1968,4,General Electric,7741.2,361.4
1968,5,Chrysler,6213.4,200.4
1969,1,General Motors,22755.4,1731.9
1969,2,Exxon Mobil,14091.3,1276.7
1969,3,Ford Motor,14075.1,626.6
1969,4,General Electric,8381.6,357.1
1969,5,Chrysler,7445.3,290.7
1970,1,General Motors,24295.1,1710.7
1970,2,Exxon Mobil,14929.8,1047.6
1970,3,Ford Motor,14755.6,546.5
1970,4,General Electric,8448.0,278
1970,5,Intl. Business Machines,7197.3,933.9
1971,1,General Motors,18752.4,609.1
1971,2,Exxon Mobil,16554.2,1309.5
1971,3,Ford Motor,14979.9,515.7
1971,4,General Electric,8726.7,328.5
1971,5,Intl. Business Machines,7504.0,1017.5
1972,1,General Motors,28263.9,1935.7
1972,2,Exxon Mobil,18700.6,1461.6
1972,3,Ford Motor,16433.0,656.7
1972,4,General Electric,9425.3,471.8
1972,5,Intl. Business Machines,8273.6,1078.8
1973,1,General Motors,30435.2,2162.8
1973,2,Exxon Mobil,20309.8,1531.8
1973,3,Ford Motor,20194.4,870
1973,4,General Electric,10239.5,530
1973,5,Chrysler,9759.1,220.5
1974,1,General Motors,35798.3,2398.1
1974,2,Exxon Mobil,25724.3,2443.3
1974,3,Ford Motor,23015.1,906.5
1974,4,Chrysler,11774.4,255.4
1974,5,General Electric,11575.3,585.1
1975,1,Exxon Mobil,42061.3,3142.2
1975,2,General Motors,31549.5,950.1
1975,3,Ford Motor,23620.6,360.9
1975,4,Texaco,23255.5,1586.4
1975,5,Mobil,18929.0,1047.4
1976,1,Exxon Mobil,44864.8,2503
1976,2,General Motors,35724.9,1253.1
1976,3,Texaco,24507.5,830.6
1976,4,Ford Motor,24009.1,322.7
1976,5,Mobil,20620.4,809.9
1977,1,Exxon Mobil,48630.8,2641
1977,2,General Motors,47181.0,2902.8
1977,3,Ford Motor,28839.6,983.1
1977,4,Texaco,26451.9,869.7
1977,5,Mobil,26062.6,942.5
1978,1,General Motors,54961.3,3337.5
1978,2,Exxon Mobil,54126.2,2423
1978,3,Ford Motor,37841.5,1672.8
1978,4,Mobil,32125.8,1004.7
1978,5,Texaco,27920.5,930.8
1979,1,General Motors,63221.1,3508
1979,2,Exxon Mobil,60334.5,2763
1979,3,Ford Motor,42784.1,1588.9
1979,4,Mobil,34736.0,1125.6
1979,5,Texaco,28607.5,852.5
1980,1,Exxon Mobil,79106.5,4295.2
1980,2,General Motors,66311.2,2892.7
1980,3,Mobil,44720.9,2007.2
1980,4,Ford Motor,43513.7,1169.3
1980,5,Texaco,38350.4,1759.1
1981,1,Exxon Mobil,103142.8,5650.1
1981,2,Mobil,59510.0,3272
1981,3,General Motors,57728.5,-762.5
1981,4,Texaco,51195.8,2642.5
1981,5,ChevronTexaco,40479.0,2401
1982,1,Exxon Mobil,108107.7,5567.5
1982,2,Mobil,64488.0,2433
1982,3,General Motors,62698.5,333.4
1982,4,Texaco,57628.0,2310
1982,5,ChevronTexaco,44224.0,2380
1983,1,Exxon Mobil,97172.5,4185.9
1983,2,General Motors,60025.6,962.7
1983,3,Mobil,59946.0,1380
1983,4,Texaco,46986.0,1281
1983,5,Ford Motor,37067.2,-657.8
1984,1,Exxon Mobil,88561.1,4978
1984,2,General Motors,74581.6,3730.2
1984,3,Mobil,54607.0,1503
1984,4,Ford Motor,44454.6,1866.9
1984,5,Intl. Business Machines,40180.0,5485
1985,1,Exxon Mobil,90854.0,5528
1985,2,General Motors,83889.9,4516.5
1985,3,Mobil,56047.0,1268
1985,4,Ford Motor,52366.4,2906.8
1985,5,Texaco,47334.0,306
1986,1,General Motors,96371.7,3999
1986,2,Exxon Mobil,86673.0,4870
1986,3,Mobil,55960.0,1040
1986,4,Ford Motor,52774.4,2515.4
1986,5,Intl. Business Machines,50056.0,6555
1987,1,General Motors,102813.7,2944.7
1987,2,Exxon Mobil,69888.0,5360
1987,3,Ford Motor,62715.8,3285.1
1987,4,Intl. Business Machines,51250.0,4789
1987,5,Mobil,44866.0,1407
1988,1,General Motors,101782.0,3551
1988,2,Exxon Mobil,76416.0,4840
1988,3,Ford Motor,71643.0,4625
1988,4,Intl. Business Machines,54217.0,5258
1988,5,Mobil,51223.0,1258
1989,1,General Motors,121085.0,4856
1989,2,Ford Motor,92446.0,5300
1989,3,Exxon Mobil,79557.0,5260
1989,4,Intl. Business Machines,59681.0,5806
1989,5,General Electric,49414.0,3386
1990,1,General Motors,126974.3,4224.3
1990,2,Ford Motor,96932.6,3835
1990,3,Exxon Mobil,86656.0,3510
1990,4,Intl. Business Machines,63438.0,3758
1990,5,General Electric,55264.0,3939
1991,1,General Motors,125126.0,-1985.7
1991,2,Exxon Mobil,105885.0,5010
1991,3,Ford Motor,98274.7,860.1
1991,4,Intl. Business Machines,69018.0,6020
1991,5,Mobil,58770.0,1929
1992,1,General Motors,123780.1,-4452.8
1992,2,Exxon Mobil,103242.0,5600
1992,3,Ford Motor,88962.8,-2258
1992,4,Intl. Business Machines,65394.0,-2827
1992,5,General Electric,60236.0,2636
1993,1,General Motors,132774.9,-23498.3
1993,2,Exxon Mobil,103547.0,4770
1993,3,Ford Motor,100785.6,-7385
1993,4,Intl. Business Machines,65096.0,-4965
1993,5,General Electric,62202.0,4725
1994,1,General Motors,133621.9,2465.8
1994,2,Ford Motor,108521.0,2529
1994,3,Exxon Mobil,97825.0,5280
1994,4,Intl. Business Machines,62716.0,-8101
1994,5,General Electric,60823.0,4315
1995,1,General Motors,154951.2,4900.6
1995,2,Ford Motor,128439.0,5308
1995,3,Exxon Mobil,101459.0,5100
1995,4,Wal-Mart Stores,83412.4,2681
1995,5,AT&T,75094.0,4676
1996,1,General Motors,168828.6,6880.7
1996,2,Ford Motor,137137.0,4139
1996,3,Exxon Mobil,110009.0,6470
1996,4,Wal-Mart Stores,93627.0,2740
1996,5,AT&T,79609.0,139
1997,1,General Motors,168369.0,4963
1997,2,Ford Motor,146991.0,4446
1997,3,Exxon Mobil,119434.0,7510
1997,4,Wal-Mart Stores,106147.0,3056
1997,5,General Electric,79179.0,7280
1998,1,General Motors,178174.0,6698
1998,2,Ford Motor,153627.0,6920
1998,3,Exxon Mobil,122379.0,8460
1998,4,Wal-Mart Stores,119299.0,3526
1998,5,General Electric,90840.0,8203
1999,1,General Motors,161315.0,2956
1999,2,Ford Motor,144416.0,22071
1999,3,Wal-Mart Stores,139208.0,4430
1999,4,Exxon Mobil,100697.0,6370
1999,5,General Electric,100469.0,9296
2000,1,General Motors,189058.0,6002
2000,2,Wal-Mart Stores,166809.0,5377
2000,3,Exxon Mobil,163881.0,7910
2000,4,Ford Motor,162558.0,7237
2000,5,General Electric,111630.0,10717
2001,1,Exxon Mobil,210392.0,17720
2001,2,Wal-Mart Stores,193295.0,6295
2001,3,General Motors,184632.0,4452
2001,4,Ford Motor,180598.0,3467
2001,5,General Electric,129853.0,12735
2002,1,Wal-Mart Stores,219812.0,6671
2002,2,Exxon Mobil,191581.0,15320
2002,3,General Motors,177260.0,601
2002,4,Ford Motor,162412.0,-5453
2002,5,Enron,138718.0,N.A.
2003,1,Wal-Mart Stores,246525.0,8039
2003,2,General Motors,186763.0,1736
2003,3,Exxon Mobil,182466.0,11460
2003,4,Ford Motor,163630.0,-980
2003,5,General Electric,131698.0,14118
2004,1,Wal-Mart Stores,258681.0,9054
2004,2,Exxon Mobil,213199.0,21510
2004,3,General Motors,195645.2,3822
2004,4,Ford Motor,164496.0,495
2004,5,General Electric,134187.0,15002
2005,1,Wal-Mart Stores,288189.0,10267
2005,2,Exxon Mobil,270772.0,25330
2005,3,General Motors,193517.0,2805
2005,4,Ford Motor,172233.0,3487
2005,5,General Electric,152363.0,16593
1955,1,General Motors,9823.5,806
1955,2,Exxon Mobil,5661.4,584.8
1955,3,U.S. Steel,3250.4,195.4
1955,4,General Electric,2959.1,212.6
1955,5,Esmark,2510.8,19.1
1956,1,General Motors,12443.3,1189.5
1956,2,Exxon Mobil,6272.4,709.3
1956,3,Ford Motor,5594.0,437
1956,4,U.S. Steel,4097.7,370.1
1956,5,Chrysler,3466.2,100.1
1957,1,General Motors,10796.4,847.4
1957,2,Exxon Mobil,7126.9,808.5
1957,3,Ford Motor,4647.0,236.6
1957,4,U.S. Steel,4228.9,348.1
1957,5,General Electric,4090.0,213.8
1958,1,General Motors,10989.8,843.6
1958,2,Exxon Mobil,7830.2,805.2
1958,3,Ford Motor,5771.3,282.8
1958,4,U.S. Steel,4413.8,419.4
1958,5,General Electric,4335.7,247.9
1959,1,General Motors,9522.0,633.6
1959,2,Exxon Mobil,7543.6,562.5
1959,3,Ford Motor,4130.3,95.7
1959,4,General Electric,4120.8,242.9
1959,5,U.S. Steel,3472.2,301.6
1960,1,General Motors,11233.1,873.1
1960,2,Exxon Mobil,7910.7,629.8
1960,3,Ford Motor,5356.9,451.4
1960,4,General Electric,4349.5,280.2
1960,5,U.S. Steel,3643.0,254.6
1961,1,General Motors,12736.0,959
1961,2,Exxon Mobil,8034.7,688.6
1961,3,Ford Motor,5237.9,427.9
1961,4,General Electric,4197.5,200.1
1961,5,U.S. Steel,3698.5,304.2
1962,1,General Motors,11395.9,892.8
1962,2,Exxon Mobil,8437.7,758.1
1962,3,Ford Motor,6709.4,409.6
1962,4,General Electric,4456.8,242.1
1962,5,Mobil,3321.2,211.3
1963,1,General Motors,14640.2,1459.1
1963,2,Exxon Mobil,9536.9,840.9
1963,3,Ford Motor,8089.6,480.7
1963,4,General Electric,4792.7,265.8
1963,5,Mobil,3933.3,242.3
1964,1,General Motors,16494.8,1591.8
1964,2,Exxon Mobil,10264.3,1019.5
1964,3,Ford Motor,8742.5,488.5
1964,4,General Electric,4918.7,270.6
1964,5,Mobil,4352.1,271.9
1965,1,General Motors,16997.0,1734.8
1965,2,Exxon Mobil,10814.7,1050.6
1965,3,Ford Motor,9670.8,505.6
1965,4,General Electric,4941.4,237.3
1965,5,Mobil,4499.4,294.2
1966,1,General Motors,20734.0,2125.6
1966,2,Ford Motor,11536.8,703
1966,3,Exxon Mobil,11471.5,1035.7
1966,4,General Electric,6213.6,355.1
1966,5,Chrysler,5299.9,233.4
1967,1,General Motors,20208.5,1793.4
1967,2,Ford Motor,12240.0,621
1967,3,Exxon Mobil,12191.4,1090.9
1967,4,General Electric,7177.3,338.9
1967,5,Chrysler,5649.5,189.2
1968,1,General Motors,20026.3,1627.3
1968,2,Exxon Mobil,13266.0,1232.3
1968,3,Ford Motor,10515.7,84.1
1968,4,General Electric,7741.2,361.4
1968,5,Chrysler,6213.4,200.4
1969,1,General Motors,22755.4,1731.9
1969,2,Exxon Mobil,14091.3,1276.7
1969,3,Ford Motor,14075.1,626.6
1969,4,General Electric,8381.6,357.1
1969,5,Chrysler,7445.3,290.7
1970,1,General Motors,24295.1,1710.7
1970,2,Exxon Mobil,14929.8,1047.6
1970,3,Ford Motor,14755.6,546.5
1970,4,General Electric,8448.0,278
1970,5,Intl. Business Machines,7197.3,933.9
